Energy (Kev2I), counts
45, 1
49, 1
54, 1
64, 1
66, 1
67, 1
74, 1
76, 1
77, 1
80, 1
82, 1
84, 1
86, 1
88, 1
92, 1
95, 1
96, 1
99, 1
102, 1
107, 1
110, 1
113, 1
116, 1
119, 1
120, 1
122, 1
123, 1
125, 1
127, 1
128, 1
129, 1
130, 1
133, 1
136, 1
138, 1
139, 1
140, 1
141, 1
142, 1
145, 1
146, 1
148, 1
152, 1
154, 1
155, 1
156, 1
157, 1
166, 1
168, 1
170, 1
171, 1
176, 1
180, 1
181, 1
189, 1
193, 1
194, 1
198, 1
199, 1
200, 1
204, 1
207, 1
208, 1
209, 1
213, 1
216, 1
217, 1
218, 1
219, 1
220, 1
222, 1
225, 1
226, 1
228, 1
235, 1
238, 1
240, 1
252, 1
253, 1
254, 1
259, 1
262, 1
266, 1
268, 1
269, 1
273, 1
276, 1
281, 1
285, 1
291, 1
292, 1
293, 1
294, 1
298, 1
299, 1
300, 1
301, 1
303, 1
304, 1
311, 1
316, 1
317, 1
319, 1
330, 1
333, 1
341, 1
346, 1
350, 1
369, 1
395, 1
408, 1
422, 1
426, 1
427, 1
429, 1
446, 1
450, 1
481, 1
485, 1
487, 1
488, 1
497, 1
498, 1
509, 1
513, 1
521, 1
602, 1
657, 1
672, 1
840, 1
854, 1
934, 1
949, 1
1046, 1
1142, 1
1685, 1
2342, 1
3036, 1
3938, 1
4032, 1
