Time, Energy
0, 52
0, 2129
0, 2179
0, 1883
0, 1603
0, 1153
0, 361
0, 1421
0, 1692
0, 785
0, 1916
0, 552
0, 1696
0, 1534
0, 538
0, 1538
0, 1900
0, 1227
0, 192
0, 467
0, 578
0, 2120
0, 284
0, 344
0, 723
0, 1975
0, 52
0, 1186
0, 1602
0, 671
0, 1070
0, 1495
0, 188
0, 544
0, 246
0, 2139
0, 600
0, 172
0, 1360
0, 345
0, 1134
0, 378
0, 1728
0, 568
0, 1078
0, 181
0, 416
0, 1347
0, 931
0, 1317
0, 538
0, 1373
0, 552
0, 418
0, 1081
0, 2167
0, 331
0, 1194
0, 559
1, 307
1, 1572
1, 2104
1, 615
1, 1137
1, 1229
1, 799
1, 124
1, 2119
1, 1263
1, 370
1, 728
1, 922
1, 114
1, 1368
1, 1641
1, 1310
1, 730
1, 655
1, 1533
1, 640
1, 1803
1, 152
1, 958
1, 1791
1, 970
1, 354
1, 291
1, 349
1, 1072
1, 1445
1, 112
1, 1686
1, 289
1, 883
1, 1232
1, 89
1, 478
1, 1403
1, 121
1, 2118
1, 1442
1, 477
1, 1110
1, 1955
1, 120
1, 1300
1, 106
1, 315
1, 550
1, 672
1, 1600
1, 1325
1, 539
1, 374
1, 1169
1, 301
1, 434
1, 660
2, 487
2, 746
2, 1262
2, 283
2, 474
2, 255
2, 252
2, 1457
2, 695
2, 149
2, 779
2, 251
2, 48
2, 1895
2, 109
2, 1320
2, 1149
2, 117
2, 355
2, 166
2, 448
2, 1004
2, 1006
2, 1096
2, 198
2, 850
2, 503
2, 1541
2, 1836
2, 198
2, 663
2, 1201
2, 745
2, 1777
2, 1355
2, 1264
2, 1441
2, 387
2, 607
2, 677
2, 165
2, 262
2, 666
2, 1729
2, 1395
2, 174
2, 1691
2, 832
2, 644
2, 313
3, 1486
3, 139
3, 345
3, 1028
3, 375
3, 977
3, 349
3, 2137
3, 1283
3, 998
3, 1183
3, 456
3, 141
3, 1963
3, 535
3, 658
3, 1200
3, 562
3, 1461
3, 305
3, 1912
3, 221
3, 2163
3, 675
3, 458
3, 2143
3, 1911
3, 490
3, 687
3, 1046
3, 728
3, 521
3, 165
3, 122
3, 1376
3, 941
3, 1574
3, 382
3, 636
3, 1246
3, 858
3, 1908
3, 104
3, 1887
3, 714
3, 1543
3, 759
4, 377
4, 456
4, 366
4, 406
4, 370
4, 1882
4, 1239
4, 380
4, 1473
4, 343
4, 500
4, 1256
4, 876
4, 950
4, 1978
4, 728
4, 2173
4, 1532
4, 623
4, 1142
4, 768
4, 989
4, 1564
4, 782
4, 1578
4, 2134
4, 873
4, 142
4, 925
4, 659
4, 2149
4, 1507
4, 542
4, 197
4, 1953
4, 1998
4, 297
4, 923
4, 1962
4, 1023
4, 708
4, 1511
5, 403
5, 805
5, 1766
5, 665
5, 385
5, 1841
5, 384
5, 239
5, 937
5, 1005
5, 754
5, 824
5, 1622
5, 2143
