Time, Energy
0, 1720
0, 134
1, 293
1, 611
1, 150
2, 389
2, 219
2, 60
3, 684
3, 351
4, 141
5, 729
6, 1322
7, 310
7, 431
7, 857
7, 1053
8, 2160
9, 247
9, 1153
10, 492
10, 50
10, 1307
10, 156
11, 142
11, 290
12, 208
12, 966
12, 1009
13, 225
13, 1571
14, 330
14, 66
15, 132
15, 387
15, 218
16, 178
16, 1512
16, 332
16, 92
16, 335
16, 326
17, 313
17, 1438
18, 267
18, 305
18, 898
18, 1078
19, 386
19, 181
19, 211
20, 664
21, 101
21, 1150
21, 668
22, 126
22, 172
22, 123
23, 216
24, 1681
24, 1659
24, 351
25, 102
25, 2148
26, 292
26, 249
26, 50
26, 188
27, 224
27, 330
27, 1512
27, 389
27, 344
28, 144
28, 456
28, 1427
29, 1325
30, 303
30, 606
30, 182
30, 748
31, 489
31, 204
31, 1121
31, 164
32, 1623
32, 93
32, 281
32, 103
33, 1145
33, 208
34, 183
34, 2346
34, 545
34, 1715
35, 1122
36, 435
36, 51
36, 801
36, 173
36, 141
37, 1099
37, 600
37, 150
37, 289
38, 365
38, 489
38, 202
38, 105
39, 596
39, 247
39, 155
40, 423
40, 1099
40, 167
40, 650
41, 322
41, 278
42, 333
42, 1063
42, 44
42, 264
43, 173
43, 555
44, 272
44, 694
44, 103
44, 1915
44, 113
45, 65
45, 216
45, 1180
45, 163
46, 185
47, 413
47, 290
48, 307
48, 337
49, 83
50, 282
50, 125
50, 552
51, 151
51, 429
51, 219
51, 468
52, 1577
52, 697
52, 339
53, 255
54, 95
54, 1726
54, 129
54, 83
55, 375
55, 143
56, 666
56, 641
56, 292
56, 163
57, 216
58, 507
58, 93
58, 764
59, 1101
60, 256
61, 1149
61, 170
63, 125
63, 368
63, 119
63, 796
64, 1124
65, 705
65, 253
65, 474
67, 168
67, 54
68, 733
69, 104
69, 696
69, 1215
71, 286
71, 331
73, 111
73, 67
73, 107
73, 867
74, 574
74, 314
75, 968
75, 1270
75, 346
75, 254
76, 378
77, 544
77, 217
78, 1449
78, 1578
79, 842
80, 285
80, 1160
82, 180
82, 513
82, 255
82, 1180
83, 1620
85, 1112
87, 102
87, 734
87, 410
88, 127
89, 1386
89, 456
89, 199
89, 64
89, 718
90, 573
90, 243
90, 186
91, 303
91, 277
92, 133
93, 1556
93, 137
93, 1101
93, 466
93, 2188
93, 1285
93, 116
93, 265
93, 260
94, 182
94, 77
95, 392
96, 365
97, 231
98, 177
99, 801
99, 155
99, 1432
99, 361
101, 228
101, 1261
101, 376
102, 1266
102, 184
103, 360
103, 210
103, 99
103, 1063
104, 150
104, 207
104, 280
104, 744
105, 206
105, 1554
106, 716
107, 214
107, 2159
108, 942
108, 413
108, 310
110, 367
111, 139
112, 631
112, 108
112, 293
113, 355
113, 156
114, 272
114, 186
115, 114
115, 302
116, 187
117, 810
117, 255
118, 232
119, 1099
119, 179
120, 89
120, 55
121, 126
121, 529
122, 227
122, 505
124, 394
125, 223
125, 222
125, 361
126, 333
126, 72
126, 1093
126, 1118
127, 256
127, 212
127, 88
127, 164
127, 366
128, 86
128, 221
129, 302
129, 971
130, 110
130, 715
130, 164
130, 424
130, 194
131, 60
131, 611
131, 477
131, 362
132, 126
133, 1278
134, 167
134, 329
135, 1098
135, 181
135, 576
136, 1428
136, 456
137, 168
138, 1594
139, 286
140, 51
142, 89
142, 1103
142, 1661
142, 232
143, 432
143, 75
143, 971
143, 361
146, 445
146, 315
148, 1840
148, 218
149, 1423
149, 268
150, 179
150, 454
151, 287
152, 1130
153, 1494
154, 249
154, 217
155, 362
155, 84
156, 69
156, 881
156, 154
156, 187
157, 178
157, 347
157, 751
159, 166
159, 2258
159, 391
159, 2132
160, 314
161, 502
161, 1361
162, 44
162, 510
163, 507
163, 1619
163, 724
163, 454
164, 118
165, 121
165, 116
166, 229
166, 156
166, 633
167, 708
167, 148
167, 135
167, 212
168, 147
168, 1114
168, 142
169, 686
169, 641
169, 328
169, 56
170, 1387
172, 234
173, 500
173, 390
173, 446
174, 153
174, 410
175, 390
175, 74
175, 223
175, 232
176, 1469
177, 768
177, 182
178, 487
178, 1564
178, 1092
179, 438
179, 487
179, 323
179, 72
179, 1148
