Time, Energy
0, 93
0, 337
0, 133
0, 129
1, 128
1, 429
2, 1065
2, 101
2, 504
3, 537
3, 71
4, 1107
4, 254
5, 488
5, 106
6, 3928
6, 431
6, 231
6, 166
6, 420
7, 222
7, 191
7, 603
7, 365
7, 1175
7, 974
8, 264
8, 90
8, 530
8, 323
9, 296
9, 75
9, 44
10, 419
10, 3016
12, 121
12, 464
12, 91
13, 101
14, 274
14, 2214
15, 240
17, 279
17, 53
17, 466
17, 737
17, 1017
18, 1109
18, 290
18, 337
18, 181
18, 358
19, 216
19, 1940
20, 87
20, 166
20, 218
20, 239
21, 420
21, 1253
21, 96
21, 2121
22, 433
22, 77
22, 435
22, 221
23, 123
23, 583
23, 328
23, 257
24, 247
24, 240
25, 60
25, 1061
25, 333
26, 236
26, 188
26, 1707
26, 130
26, 142
26, 295
27, 1040
27, 109
27, 686
28, 176
28, 370
29, 753
30, 954
30, 228
30, 2099
30, 158
30, 241
30, 46
30, 1248
31, 141
31, 490
31, 275
31, 411
32, 559
32, 425
32, 1072
32, 1110
33, 332
33, 509
33, 238
33, 437
33, 234
34, 307
34, 128
35, 1330
35, 454
35, 909
35, 61
36, 469
36, 689
36, 508
36, 409
36, 1881
36, 1361
37, 284
37, 198
37, 1213
38, 210
38, 51
38, 1311
39, 181
39, 299
39, 442
40, 211
40, 1271
40, 1365
40, 271
41, 275
41, 402
43, 231
43, 66
43, 127
44, 1650
44, 432
44, 371
45, 110
45, 141
45, 1866
46, 144
46, 1415
46, 2115
47, 1610
47, 784
47, 233
48, 209
48, 204
49, 1117
49, 148
49, 114
49, 284
50, 136
50, 358
51, 268
51, 631
51, 1139
51, 152
51, 401
52, 408
52, 571
52, 350
53, 182
53, 213
53, 148
53, 153
53, 206
53, 209
54, 529
55, 248
55, 584
55, 206
55, 235
56, 458
56, 119
56, 55
57, 1124
57, 510
57, 95
59, 91
59, 1258
59, 1008
59, 867
59, 367
60, 139
60, 1447
60, 1079
60, 177
61, 644
61, 1057
61, 543
62, 763
62, 266
63, 580
63, 278
63, 120
64, 286
64, 224
65, 239
65, 440
66, 990
66, 204
66, 173
66, 254
66, 430
66, 200
67, 356
68, 43
68, 355
69, 180
69, 679
69, 452
69, 674
69, 333
69, 328
70, 1607
70, 298
71, 75
72, 532
72, 428
72, 158
72, 282
72, 236
72, 98
72, 314
73, 686
73, 778
73, 459
75, 1182
75, 460
76, 223
76, 92
76, 341
76, 210
78, 335
78, 152
78, 131
78, 128
78, 1116
79, 870
79, 860
79, 282
79, 736
79, 153
80, 224
80, 270
80, 85
80, 90
80, 442
81, 478
81, 2135
81, 352
82, 1139
82, 250
83, 195
83, 641
83, 1002
84, 1880
84, 300
84, 787
84, 180
85, 328
86, 788
86, 354
86, 202
86, 372
86, 234
86, 222
86, 502
87, 4033
87, 320
88, 374
89, 165
89, 125
89, 1121
89, 3823
89, 322
89, 1400
89, 254
90, 460
91, 73
92, 2014
92, 1107
92, 683
92, 201
92, 134
92, 250
93, 704
93, 483
93, 86
93, 80
94, 1003
95, 125
96, 473
96, 353
97, 842
97, 558
98, 44
98, 304
99, 436
99, 133
99, 131
99, 544
99, 301
100, 200
100, 184
101, 682
101, 86
101, 637
102, 364
102, 1942
103, 171
103, 150
103, 359
104, 298
104, 4033
104, 1405
104, 183
104, 180
104, 1147
104, 448
104, 166
105, 278
106, 227
106, 292
106, 192
107, 757
108, 1107
108, 1070
108, 447
108, 307
108, 861
108, 303
108, 282
108, 1118
109, 1010
109, 185
110, 99
110, 250
112, 226
113, 187
114, 531
114, 115
114, 1163
114, 441
114, 228
115, 113
115, 583
115, 409
115, 169
115, 480
116, 423
116, 70
117, 294
117, 1115
117, 2178
117, 1072
118, 290
118, 121
119, 1232
119, 322
119, 458
119, 294
119, 216
119, 481
119, 566
119, 509
119, 546
120, 97
120, 274
120, 124
120, 263
121, 474
121, 342
121, 1129
121, 232
121, 617
121, 505
121, 76
122, 191
122, 318
122, 71
122, 132
123, 210
123, 261
123, 66
123, 1473
124, 215
124, 469
125, 419
125, 601
125, 168
126, 453
127, 62
127, 644
127, 468
128, 116
128, 191
128, 132
128, 111
128, 1081
129, 1483
129, 156
129, 211
129, 302
129, 151
130, 306
131, 684
131, 190
132, 433
132, 54
132, 220
133, 141
134, 732
135, 397
135, 337
135, 247
136, 1460
136, 78
136, 163
136, 368
137, 1784
137, 345
138, 465
138, 335
138, 174
139, 475
140, 304
140, 1054
140, 179
140, 148
141, 237
141, 55
142, 208
142, 240
142, 194
142, 284
142, 316
143, 1036
145, 195
145, 669
145, 1164
145, 363
145, 233
146, 751
146, 463
146, 430
146, 287
147, 1192
147, 214
147, 115
147, 118
147, 558
148, 395
148, 280
148, 371
149, 1118
149, 129
149, 361
149, 421
151, 327
152, 202
152, 1150
153, 517
153, 1394
154, 343
154, 1329
155, 422
155, 961
156, 623
156, 155
156, 329
156, 293
156, 393
156, 378
157, 891
157, 68
158, 378
159, 1126
159, 199
159, 975
160, 386
160, 173
160, 125
160, 57
161, 81
162, 1518
162, 1466
162, 1116
162, 123
163, 166
163, 218
163, 1129
163, 270
163, 236
163, 937
163, 532
163, 372
164, 311
164, 119
165, 132
165, 287
165, 272
165, 1151
166, 292
166, 720
167, 194
168, 410
168, 52
168, 278
168, 146
168, 309
169, 367
169, 1130
169, 1101
169, 459
169, 502
170, 1589
170, 632
171, 74
172, 150
172, 1015
173, 223
173, 250
174, 778
175, 131
175, 75
175, 620
175, 4033
175, 363
176, 291
176, 203
177, 304
177, 320
177, 1020
179, 1091
179, 167
179, 1465
179, 611
179, 254
