Time, Energy
0, 44
0, 585
0, 779
0, 515
0, 1133
0, 379
0, 47
0, 405
0, 660
0, 835
0, 1196
0, 676
0, 309
0, 321
0, 566
0, 85
0, 572
0, 118
0, 370
0, 429
0, 406
0, 1195
0, 195
0, 91
0, 1145
0, 1111
0, 1091
0, 403
0, 375
0, 775
0, 162
0, 753
0, 836
0, 579
0, 587
0, 1141
0, 386
0, 1145
0, 1108
0, 86
0, 234
0, 665
0, 676
0, 236
0, 421
0, 264
0, 1132
0, 1098
0, 308
0, 171
0, 1130
0, 1131
1, 340
1, 99
1, 334
1, 309
1, 130
1, 690
1, 1096
1, 215
1, 545
1, 215
1, 180
1, 290
1, 536
1, 1153
1, 47
1, 471
1, 236
1, 410
1, 154
1, 937
1, 447
1, 1113
1, 1147
1, 1102
1, 1153
1, 525
1, 484
1, 182
1, 1061
1, 54
1, 344
1, 478
1, 489
1, 459
1, 1147
1, 501
1, 816
1, 1192
1, 733
1, 1119
1, 442
1, 395
1, 716
1, 565
2, 710
2, 1055
2, 1092
2, 310
2, 790
2, 692
2, 257
2, 196
2, 217
2, 217
2, 1034
2, 405
2, 742
2, 710
2, 612
2, 77
2, 418
2, 850
2, 801
2, 584
2, 694
2, 832
2, 578
2, 820
2, 457
2, 355
2, 865
2, 348
2, 422
2, 1053
2, 551
2, 794
2, 273
2, 106
2, 1094
2, 106
2, 561
2, 843
2, 70
2, 311
2, 231
2, 1089
2, 682
2, 1075
2, 792
2, 390
2, 338
3, 216
3, 283
3, 1118
3, 327
3, 1145
3, 1136
3, 284
3, 738
3, 1118
3, 871
3, 370
3, 347
3, 374
3, 1103
3, 1100
3, 155
3, 1030
3, 967
3, 1023
3, 50
3, 1065
3, 317
3, 760
3, 467
3, 1133
3, 455
3, 674
3, 312
3, 1128
3, 489
3, 1090
3, 1142
3, 402
3, 550
3, 86
3, 272
3, 47
3, 68
4, 1160
4, 582
4, 229
4, 626
4, 548
4, 520
4, 624
4, 886
4, 1076
4, 839
4, 112
4, 68
4, 651
4, 623
4, 152
4, 636
4, 387
4, 361
4, 1108
4, 1075
4, 523
4, 185
4, 331
4, 186
4, 291
4, 1096
4, 709
4, 1144
4, 722
4, 714
4, 159
4, 362
4, 1081
4, 1165
4, 585
4, 1135
4, 1077
4, 486
4, 1103
4, 336
4, 352
4, 468
4, 1145
4, 185
4, 341
4, 607
4, 880
4, 147
4, 667
4, 288
4, 101
5, 733
5, 515
5, 1191
5, 234
5, 1091
5, 382
5, 629
5, 133
5, 1111
5, 233
5, 746
5, 936
5, 785
5, 1032
5, 445
5, 635
5, 1058
5, 476
5, 1128
5, 217
5, 716
5, 646
5, 76
5, 392
5, 310
5, 1149
5, 193
5, 726
5, 689
5, 330
5, 556
5, 684
5, 1086
5, 203
5, 1126
5, 564
5, 244
6, 85
6, 149
6, 162
6, 81
6, 111
6, 537
6, 829
6, 767
6, 680
6, 608
6, 193
6, 282
6, 1135
6, 379
6, 582
6, 302
6, 298
6, 48
6, 457
6, 294
6, 364
6, 355
6, 651
6, 487
6, 1153
6, 391
6, 670
6, 69
6, 895
6, 385
6, 603
6, 432
6, 1166
6, 774
6, 656
6, 911
6, 1098
6, 49
6, 823
6, 256
6, 339
6, 449
6, 221
6, 124
6, 1109
6, 45
6, 274
6, 1109
6, 1127
6, 1112
6, 1076
6, 1146
7, 299
7, 129
7, 1009
7, 325
7, 250
7, 1101
7, 487
7, 43
7, 260
7, 483
7, 456
7, 1107
7, 76
7, 694
7, 606
7, 258
7, 445
7, 1146
7, 308
7, 1078
7, 292
7, 75
7, 133
7, 1116
7, 1109
7, 163
7, 197
7, 534
7, 687
7, 349
7, 1120
7, 194
7, 320
7, 1126
7, 427
7, 292
7, 141
7, 605
7, 387
7, 638
7, 638
7, 402
7, 148
7, 657
7, 629
7, 44
7, 465
7, 1091
8, 403
8, 246
8, 149
8, 434
8, 1123
8, 634
8, 735
8, 1092
8, 1086
8, 1104
8, 446
8, 425
8, 679
8, 491
8, 897
8, 58
8, 425
8, 552
8, 348
8, 645
8, 102
8, 721
8, 403
8, 347
8, 1080
8, 412
8, 675
8, 1173
8, 526
8, 1096
8, 748
8, 269
8, 826
8, 107
8, 406
8, 142
8, 355
8, 1087
8, 669
8, 342
8, 516
9, 740
9, 324
9, 366
9, 674
9, 635
9, 277
9, 1137
9, 283
9, 161
9, 441
9, 364
9, 299
9, 155
9, 184
9, 625
9, 403
9, 313
9, 654
9, 289
9, 167
9, 376
9, 139
9, 597
9, 533
9, 252
9, 1155
9, 757
9, 419
9, 283
9, 222
9, 491
9, 1078
9, 213
9, 44
9, 546
9, 1043
9, 302
9, 336
9, 825
9, 45
9, 712
10, 1125
10, 145
10, 443
10, 672
10, 824
10, 436
10, 46
10, 353
10, 1101
10, 1094
10, 388
10, 1089
10, 385
10, 216
10, 265
10, 601
10, 49
10, 323
10, 554
10, 1099
10, 324
10, 300
10, 252
10, 402
10, 1101
10, 354
10, 623
10, 390
10, 841
10, 439
10, 102
10, 215
10, 475
10, 574
10, 173
10, 381
10, 514
10, 395
10, 735
10, 852
10, 292
10, 1147
10, 772
10, 278
10, 339
10, 182
10, 577
10, 429
10, 1085
10, 1090
10, 336
10, 1130
10, 427
11, 565
11, 277
11, 766
11, 713
11, 1132
11, 700
11, 131
11, 408
11, 1085
11, 382
11, 44
11, 267
11, 731
11, 266
11, 1115
11, 195
11, 424
11, 275
11, 1139
11, 293
11, 983
11, 349
11, 608
11, 615
11, 312
11, 218
11, 741
11, 665
11, 1089
11, 68
11, 553
11, 280
11, 529
11, 1022
11, 242
11, 674
11, 530
11, 133
11, 1133
11, 158
11, 1185
12, 1157
12, 550
12, 167
12, 491
12, 831
12, 1115
12, 1122
12, 380
12, 431
12, 402
12, 411
12, 350
12, 145
12, 542
12, 47
12, 551
12, 198
12, 486
12, 397
12, 323
12, 110
12, 400
12, 1076
12, 151
12, 1045
12, 504
12, 1104
12, 360
12, 889
12, 720
12, 75
12, 519
12, 221
12, 373
12, 1117
12, 99
12, 1134
