Time, Energy
0, 425
0, 648
0, 318
0, 259
0, 1609
0, 1948
0, 238
0, 162
0, 1085
1, 59
1, 826
1, 2095
1, 1886
1, 828
1, 119
2, 1093
2, 385
2, 1550
2, 471
3, 434
3, 194
3, 1160
3, 361
3, 314
3, 1124
3, 127
3, 1107
3, 423
3, 1024
3, 244
3, 213
4, 473
4, 94
4, 1135
4, 3281
4, 611
4, 793
4, 302
4, 1073
4, 1558
4, 214
4, 308
4, 1106
4, 1878
4, 1079
5, 171
5, 264
5, 216
5, 705
5, 1845
6, 487
6, 1129
6, 869
7, 186
7, 202
7, 256
7, 1093
7, 1218
7, 109
8, 498
8, 133
8, 704
8, 203
8, 1959
8, 339
8, 147
8, 466
8, 381
8, 515
8, 420
8, 47
9, 523
9, 1098
9, 827
9, 301
9, 931
9, 122
9, 464
9, 1485
9, 338
9, 326
10, 293
10, 613
10, 130
10, 454
10, 397
10, 73
10, 49
10, 184
10, 1138
11, 2181
11, 43
11, 63
11, 2135
11, 108
11, 317
11, 313
11, 176
11, 507
11, 613
12, 178
12, 371
12, 420
12, 536
12, 144
13, 1153
13, 439
13, 412
13, 1267
13, 100
13, 551
13, 288
13, 237
13, 2091
13, 1181
13, 831
13, 372
13, 1156
13, 208
13, 712
13, 228
14, 739
14, 425
14, 311
14, 1395
14, 382
15, 244
15, 180
15, 647
15, 374
15, 381
15, 1122
16, 1652
16, 823
16, 326
16, 787
16, 563
16, 63
16, 819
16, 89
16, 301
16, 1440
17, 66
17, 1529
17, 84
17, 1229
17, 422
17, 369
17, 1101
17, 111
18, 1675
18, 318
18, 252
18, 501
18, 1072
18, 435
18, 703
18, 44
18, 93
19, 63
19, 634
20, 765
20, 341
20, 171
20, 833
20, 1887
21, 1491
21, 766
21, 296
21, 381
21, 312
21, 90
21, 392
21, 332
22, 237
22, 324
22, 662
22, 41
22, 1094
23, 1329
23, 335
23, 100
23, 103
23, 128
23, 343
23, 1534
24, 1314
24, 244
24, 101
24, 804
24, 149
25, 1427
25, 317
25, 193
25, 572
26, 258
26, 231
26, 126
26, 470
26, 509
26, 197
26, 242
26, 331
26, 1631
26, 2025
27, 1117
27, 198
27, 430
27, 2136
27, 145
27, 1034
27, 706
27, 437
27, 214
27, 229
27, 122
28, 787
28, 312
28, 120
28, 635
28, 665
28, 1095
28, 754
28, 240
28, 203
28, 290
28, 440
28, 381
28, 375
28, 454
29, 708
29, 1163
29, 187
29, 286
29, 365
29, 545
30, 1329
30, 267
30, 728
30, 328
30, 99
30, 1120
30, 232
30, 363
31, 1662
31, 189
31, 734
31, 237
31, 344
31, 321
31, 305
31, 671
32, 307
32, 1788
32, 1140
33, 58
33, 1063
33, 195
33, 81
33, 390
34, 338
34, 370
34, 1185
34, 501
34, 338
34, 309
34, 634
34, 449
35, 446
35, 44
35, 700
35, 136
35, 317
35, 992
35, 407
35, 1113
35, 532
36, 759
36, 465
36, 309
36, 132
36, 1077
36, 1732
36, 95
36, 1178
36, 143
36, 1475
36, 188
36, 147
36, 980
36, 878
36, 271
36, 206
36, 72
37, 363
37, 134
37, 283
37, 339
37, 262
37, 322
37, 198
37, 416
37, 667
37, 305
37, 560
38, 129
38, 917
38, 155
38, 98
38, 231
38, 376
38, 391
39, 199
39, 80
39, 401
39, 1254
39, 1649
39, 825
39, 727
39, 962
39, 1112
39, 909
39, 206
39, 324
40, 363
40, 80
40, 1113
40, 341
40, 2146
40, 218
41, 121
41, 109
41, 567
41, 132
41, 263
41, 763
41, 321
41, 741
42, 777
42, 1838
42, 446
42, 312
42, 479
42, 591
42, 1084
42, 1057
42, 1588
43, 365
43, 843
43, 106
43, 705
43, 63
43, 413
43, 1086
43, 412
43, 1502
43, 308
43, 1148
44, 132
44, 789
44, 1826
44, 679
44, 1426
44, 141
44, 1367
44, 678
44, 1663
45, 291
45, 49
45, 181
45, 464
45, 643
45, 1467
46, 243
46, 1005
46, 851
47, 1748
47, 139
47, 229
47, 394
47, 179
47, 1798
47, 1100
47, 870
47, 1319
47, 130
47, 1530
47, 1668
48, 405
48, 1130
48, 1002
48, 79
48, 91
48, 287
48, 406
48, 191
48, 1149
48, 284
49, 765
49, 250
49, 114
49, 415
49, 79
49, 277
49, 829
49, 1381
49, 2139
49, 758
49, 1067
50, 1141
50, 417
50, 1615
50, 1566
50, 1460
50, 486
50, 491
51, 1125
51, 307
51, 1156
51, 1158
51, 871
51, 361
51, 1095
51, 724
51, 429
52, 268
52, 247
52, 394
52, 1846
52, 1107
52, 238
52, 280
52, 145
52, 841
52, 94
53, 1909
53, 59
53, 159
53, 1125
53, 727
53, 254
53, 217
53, 86
53, 272
54, 387
54, 125
54, 1081
54, 174
54, 289
54, 663
54, 132
54, 133
54, 1234
54, 98
54, 806
54, 180
55, 107
55, 457
55, 1068
55, 47
55, 1059
56, 577
56, 277
56, 273
56, 239
56, 1784
56, 1272
56, 578
56, 744
56, 812
56, 918
57, 279
57, 310
57, 104
57, 120
57, 300
57, 1637
58, 211
58, 162
58, 658
58, 667
58, 1103
59, 254
59, 643
59, 429
59, 558
59, 321
59, 1497
59, 1157
59, 221
59, 1164
59, 888
59, 1188
60, 775
60, 240
60, 1110
60, 387
60, 198
60, 1356
60, 2161
60, 1144
61, 1960
61, 2090
61, 1098
61, 1409
61, 1380
61, 191
61, 111
61, 636
61, 2151
61, 1427
61, 1108
61, 90
61, 1170
61, 726
61, 770
61, 644
62, 335
62, 318
62, 296
62, 807
62, 1229
62, 522
62, 1117
62, 303
63, 62
63, 279
63, 371
63, 1704
63, 1103
63, 623
63, 608
63, 198
63, 744
63, 299
63, 1071
63, 1116
64, 78
64, 416
64, 1560
64, 53
64, 1276
65, 500
65, 393
65, 1095
65, 255
65, 1401
65, 510
65, 323
65, 721
65, 330
65, 273
66, 123
