Time, Energy
0, 1234
0, 128
1, 313
1, 97
1, 1565
2, 425
2, 1431
3, 316
3, 1144
3, 237
4, 245
6, 97
6, 110
6, 174
6, 535
7, 591
7, 517
8, 228
8, 217
9, 187
9, 506
9, 456
9, 246
9, 353
10, 46
11, 755
11, 91
11, 200
11, 269
11, 184
12, 345
13, 1113
13, 515
13, 768
13, 109
14, 180
14, 252
15, 76
16, 515
16, 87
16, 1229
17, 1103
20, 1056
20, 1155
21, 1289
21, 236
21, 252
22, 331
22, 1237
22, 466
23, 256
24, 559
24, 1047
24, 694
24, 80
25, 396
25, 526
25, 309
25, 4033
27, 163
28, 1128
28, 323
29, 291
29, 894
30, 115
30, 408
30, 655
30, 129
31, 623
32, 1857
35, 378
35, 129
36, 229
37, 102
37, 82
38, 987
38, 411
39, 366
39, 231
39, 1162
39, 49
40, 431
41, 1096
41, 1525
41, 406
41, 235
43, 439
44, 271
44, 377
45, 439
45, 131
45, 329
46, 47
46, 119
46, 263
47, 379
48, 1148
49, 188
50, 321
50, 889
51, 168
51, 78
51, 209
51, 222
52, 122
54, 134
54, 189
55, 532
55, 302
55, 150
56, 545
56, 429
57, 184
57, 302
57, 191
57, 348
58, 111
58, 663
58, 361
59, 131
59, 1165
59, 125
59, 163
59, 644
60, 206
60, 379
61, 170
61, 319
61, 46
63, 333
63, 251
64, 178
64, 97
64, 547
65, 326
65, 212
65, 160
66, 410
67, 206
67, 303
68, 252
68, 768
68, 355
68, 1674
68, 123
70, 1106
70, 185
70, 98
70, 137
71, 128
72, 269
72, 236
73, 1131
74, 191
74, 42
74, 723
74, 1814
74, 198
75, 245
75, 1092
75, 241
76, 556
76, 713
77, 418
77, 1299
77, 512
77, 1661
77, 167
78, 781
78, 280
79, 67
79, 451
79, 139
80, 139
80, 130
80, 537
81, 278
82, 488
82, 202
82, 173
82, 86
83, 241
83, 738
83, 432
84, 1178
84, 92
84, 216
85, 408
86, 246
86, 453
87, 236
87, 63
88, 196
88, 724
89, 127
89, 245
89, 180
89, 413
89, 1083
90, 96
90, 320
93, 511
95, 101
95, 684
95, 146
95, 133
96, 223
96, 143
97, 205
97, 219
98, 749
98, 143
98, 127
98, 1144
99, 120
99, 224
99, 1574
100, 309
100, 376
101, 367
101, 114
101, 45
101, 377
101, 206
101, 406
102, 105
102, 325
103, 659
104, 54
104, 44
105, 706
105, 267
106, 141
107, 75
108, 53
108, 48
108, 263
110, 294
111, 227
112, 579
112, 215
112, 265
113, 232
113, 276
113, 354
113, 241
114, 763
115, 124
116, 386
116, 198
116, 768
117, 298
118, 147
118, 245
118, 171
118, 183
118, 681
119, 331
120, 1173
121, 541
121, 1906
121, 386
121, 620
121, 367
122, 118
122, 528
123, 356
123, 1050
123, 216
123, 580
123, 140
124, 402
125, 572
125, 1324
125, 358
127, 532
127, 133
128, 764
129, 99
130, 68
130, 1879
131, 273
133, 223
134, 999
135, 382
135, 2229
136, 372
136, 369
137, 311
137, 2940
137, 229
138, 139
138, 1341
139, 215
140, 470
140, 322
140, 289
141, 55
142, 265
143, 352
143, 460
145, 81
145, 359
145, 692
145, 483
146, 1128
146, 150
147, 235
148, 1054
148, 219
148, 285
149, 71
149, 223
150, 464
151, 133
151, 163
151, 218
151, 231
152, 217
153, 159
153, 1021
153, 171
153, 63
154, 280
154, 275
155, 1054
155, 338
155, 293
156, 232
156, 194
156, 148
157, 123
158, 1207
158, 357
158, 300
159, 717
159, 300
159, 127
160, 726
161, 351
161, 217
162, 219
162, 73
162, 309
163, 473
163, 1123
163, 122
164, 86
164, 267
166, 352
166, 167
166, 48
166, 196
166, 375
167, 233
167, 730
167, 119
167, 473
168, 422
168, 444
169, 663
169, 187
169, 273
169, 1147
170, 1075
170, 760
171, 323
171, 181
171, 246
171, 1105
171, 195
171, 168
172, 266
172, 184
172, 156
173, 1895
173, 219
174, 372
174, 229
174, 141
174, 1207
174, 169
175, 781
175, 223
175, 1051
176, 93
177, 281
177, 292
177, 660
178, 176
179, 337
179, 107
179, 1985
