Time, Energy
0, 362
0, 207
0, 148
2, 524
2, 242
2, 304
2, 186
3, 217
4, 86
4, 277
4, 218
5, 175
5, 130
6, 115
9, 254
9, 356
10, 361
10, 4033
10, 74
11, 945
12, 1050
12, 55
12, 61
13, 140
14, 204
14, 122
14, 442
14, 86
14, 332
15, 130
16, 143
16, 56
17, 697
17, 290
18, 216
18, 462
18, 244
20, 208
20, 165
21, 91
22, 105
23, 105
23, 459
23, 603
26, 371
26, 319
28, 150
29, 517
29, 173
32, 519
32, 894
32, 165
33, 163
37, 173
38, 137
39, 139
41, 190
41, 699
42, 190
43, 212
44, 167
47, 2395
50, 600
51, 210
51, 4033
51, 154
52, 330
52, 234
53, 396
54, 153
55, 231
55, 374
56, 355
56, 654
57, 194
57, 75
59, 353
59, 294
60, 144
61, 238
62, 326
63, 497
64, 615
65, 86
65, 558
65, 368
66, 1126
68, 1086
68, 85
69, 150
70, 228
70, 259
71, 1492
71, 302
72, 153
73, 62
74, 260
75, 170
76, 176
79, 147
79, 248
79, 118
80, 445
80, 135
81, 266
81, 264
82, 659
83, 131
84, 227
84, 85
86, 562
86, 140
88, 340
90, 85
91, 152
91, 445
92, 96
92, 210
93, 1107
93, 124
94, 1571
95, 300
97, 242
98, 194
98, 284
98, 223
99, 545
101, 84
102, 210
102, 311
103, 145
103, 198
105, 905
105, 1122
106, 96
106, 88
106, 121
107, 268
108, 380
108, 104
108, 1261
109, 355
110, 387
110, 125
110, 339
112, 666
112, 221
112, 105
113, 1074
113, 223
114, 289
115, 130
116, 386
118, 287
119, 1077
121, 157
122, 64
122, 652
124, 203
124, 391
125, 361
126, 259
126, 204
126, 161
130, 121
131, 241
131, 464
131, 509
132, 500
132, 251
133, 354
134, 148
134, 159
134, 170
135, 494
139, 532
139, 197
141, 386
141, 411
141, 662
143, 703
145, 299
147, 120
147, 121
147, 268
148, 167
150, 190
151, 153
151, 112
153, 181
154, 473
155, 1896
155, 421
156, 84
157, 174
158, 1127
159, 1258
159, 279
159, 689
159, 334
160, 630
162, 469
162, 435
163, 265
164, 400
165, 262
167, 578
169, 239
170, 370
170, 344
172, 277
172, 58
173, 156
174, 202
174, 330
175, 463
175, 192
177, 311
177, 214
178, 235
179, 883
