Time, Sievert (uSv/h) 
0, 13.253405
1, 12.850119
2, 13.063315
3, 12.922519
4, 14.078346
5, 12.620136
6, 12.189270
7, 12.846810
8, 13.432024
9, 12.348680
10, 12.237435
11, 11.076088
12, 12.696875
13, 13.760524
14, 13.373431
15, 12.070490
16, 13.606969
17, 12.868920
18, 13.693601
19, 13.627913
20, 13.002256
21, 13.650342
22, 12.987265
23, 12.058217
24, 12.019394
25, 11.955547
26, 13.074630
27, 13.345853
28, 12.588106
29, 14.358255
30, 13.479840
31, 12.571592
32, 13.196843
33, 13.255993
34, 11.768255
35, 12.808094
36, 13.226890
37, 12.381405
38, 12.438225
39, 14.017768
40, 12.661398
41, 12.010405
42, 13.706675
43, 13.432994
44, 12.462267
45, 12.535966
46, 11.634533
47, 13.625385
48, 13.317692
49, 11.908805
50, 12.150881
51, 12.888825
52, 12.887616
53, 11.139649
54, 13.303456
55, 12.245827
56, 12.060533
57, 12.152240
58, 12.789790
59, 12.218557
60, 13.632353
61, 11.421440
62, 12.139032
63, 12.434114
64, 11.980523
65, 12.588712
66, 12.297924
67, 12.785713
68, 13.998564
69, 14.102390
70, 11.897946
71, 12.185238
72, 14.206597
73, 14.398583
74, 12.744850
75, 13.602221
76, 12.267994
77, 13.154657
78, 12.586007
79, 13.335537
80, 12.319968
81, 12.629898
82, 13.811743
83, 13.024153
84, 12.304711
85, 13.144397
86, 12.179115
87, 13.462803
88, 12.271103
89, 11.973410
90, 12.744886
91, 12.687356
92, 11.866404
93, 12.022846
94, 13.253723
95, 10.888709
96, 13.311658
97, 14.732840
98, 14.337974
99, 13.757317
100, 12.777069
101, 13.214653
102, 12.344328
103, 12.143027
104, 13.342907
105, 13.078975
106, 13.308499
107, 11.961035
108, 13.899019
109, 11.912237
110, 13.517796
111, 13.343467
112, 14.983309
113, 13.777023
114, 12.625517
115, 13.734653
116, 12.331541
117, 14.014525
118, 12.734033
119, 12.521716
120, 13.155476
121, 13.320354
122, 13.834231
123, 12.397938
124, 12.750086
125, 12.349264
126, 11.441456
127, 12.602079
128, 14.713199
129, 11.510511
130, 12.709332
131, 11.517789
132, 13.000861
133, 12.804161
134, 13.692947
135, 13.486964
136, 13.484268
137, 13.054186
138, 13.787313
139, 12.452303
140, 12.652046
141, 13.835104
142, 12.206800
143, 11.993172
144, 14.231569
145, 14.055820
146, 13.809155
147, 11.168206
148, 12.852746
149, 12.732700
150, 12.932933
151, 13.412954
152, 14.207988
153, 13.148451
154, 13.182477
155, 12.980485
156, 12.544067
157, 13.123718
158, 13.007241
159, 10.685941
160, 12.454677
161, 13.371022
162, 13.784096
163, 12.647418
164, 12.963461
165, 12.613696
166, 14.675153
167, 13.088839
168, 12.859750
169, 12.908166
170, 12.476633
171, 13.667903
172, 13.153658
173, 12.509443
174, 12.767262
175, 12.907452
176, 12.199780
177, 15.493233
178, 13.558629
179, 13.536345
