Time, Sievert (uSv/h) 
0, 0.340975
1, 0.368450
2, 0.289740
3, 0.177803
4, 0.435845
5, 0.287375
6, 0.292703
7, 0.231594
8, 0.269628
9, 0.278973
10, 0.295257
11, 0.232129
12, 0.226223
13, 0.279231
14, 0.194493
15, 0.181442
16, 0.323257
17, 0.238565
18, 0.223307
19, 0.351466
20, 0.114138
21, 0.283839
22, 0.180141
23, 0.255435
24, 0.354502
25, 0.307127
26, 0.307964
27, 0.177518
28, 0.324241
29, 0.381696
30, 0.198886
31, 0.253511
32, 0.274792
33, 0.257992
34, 0.458017
35, 0.292860
36, 0.227361
37, 0.247596
38, 0.245092
39, 0.140553
40, 0.240154
41, 0.097160
42, 0.286305
43, 0.307490
44, 0.375929
45, 0.427299
46, 0.345532
47, 0.147606
48, 0.113213
49, 0.281634
50, 0.146854
51, 0.093951
52, 0.174246
53, 0.185338
54, 0.328106
55, 0.104853
56, 0.134087
57, 0.396191
58, 0.438500
59, 0.362898
60, 0.236796
61, 0.429288
62, 0.084642
63, 0.181086
64, 0.080773
65, 0.291714
66, 0.154149
67, 0.308665
68, 0.284700
69, 0.300413
70, 0.256944
71, 0.221868
72, 0.241349
73, 0.160687
74, 0.120203
75, 0.314525
76, 0.315353
77, 0.250172
78, 0.515879
79, 0.297802
80, 0.243679
81, 0.209657
82, 0.286439
83, 0.234950
84, 0.177081
85, 0.234733
86, 0.261239
87, 0.111576
88, 0.258960
89, 0.385254
90, 0.318179
91, 0.201705
92, 0.113341
93, 0.388236
94, 0.185779
95, 0.393738
96, 0.170595
97, 0.115205
98, 0.196903
99, 0.151558
100, 0.295602
101, 0.264513
102, 0.199122
103, 0.216116
104, 0.137344
105, 0.241954
106, 0.201794
107, 0.274703
108, 0.164154
109, 0.276061
110, 0.257140
111, 0.203022
112, 0.211651
113, 0.313095
114, 0.201902
115, 0.111186
116, 0.226063
117, 0.205078
118, 0.368646
119, 0.361627
120, 0.095100
121, 0.368181
122, 0.347016
123, 0.136292
124, 0.207657
125, 0.103592
126, 0.294407
127, 0.228007
128, 0.205842
129, 0.300655
130, 0.221560
131, 0.282074
132, 0.187337
133, 0.292020
134, 0.285639
135, 0.357652
136, 0.307092
137, 0.172776
138, 0.367820
139, 0.244198
140, 0.211008
141, 0.199095
142, 0.332178
143, 0.106515
144, 0.239041
145, 0.136860
146, 0.225689
147, 0.278683
148, 0.129754
149, 0.293811
150, 0.137766
151, 0.179586
152, 0.297071
153, 0.588480
154, 0.190362
155, 0.146672
156, 0.239631
157, 0.208215
158, 0.346531
159, 0.333077
160, 0.193338
161, 0.301937
162, 0.238869
163, 0.493629
164, 0.194519
165, 0.197018
166, 0.394036
167, 0.186951
168, 0.477403
169, 0.226107
170, 0.282050
171, 0.277061
172, 0.129577
173, 0.453699
174, 0.297661
175, 0.178463
176, 0.172525
177, 0.093818
178, 0.248762
179, 0.201857
