Time, Sievert (uSv/h) 
0, 0.381059
1, 0.190826
2, 0.545717
3, 0.338844
4, 0.529036
5, 0.156669
6, 0.209553
7, 0.222159
8, 0.163539
9, 0.268136
10, 0.483695
11, 0.281064
12, 0.253150
13, 0.282626
14, 0.363628
15, 0.186278
16, 0.516628
17, 0.372449
18, 0.381572
19, 0.209895
20, 0.168423
21, 0.281952
22, 0.277627
23, 0.330676
24, 0.282173
25, 0.270757
26, 0.320990
27, 0.395118
28, 0.258046
29, 0.261393
30, 0.517496
31, 0.130242
32, 0.405771
33, 0.232107
34, 0.214535
35, 0.212586
36, 0.281889
37, 0.406841
38, 0.302758
39, 0.121740
40, 0.358035
41, 0.262378
42, 0.398805
43, 0.378857
44, 0.226325
45, 0.333049
46, 0.367000
47, 0.325017
48, 0.147780
49, 0.317569
50, 0.255776
51, 0.295931
52, 0.088120
53, 0.528008
54, 0.226766
55, 0.281549
56, 0.241493
57, 0.206209
58, 0.152949
59, 0.187028
60, 0.204679
61, 0.184022
62, 0.181350
63, 0.152146
64, 0.347397
65, 0.264874
66, 0.319898
67, 0.309797
68, 0.197154
69, 0.706269
70, 0.414184
71, 0.199415
72, 0.133602
73, 0.179602
74, 0.196463
75, 0.217375
76, 0.206884
77, 0.200895
78, 0.302433
79, 0.308255
80, 0.195504
81, 0.404560
82, 0.340051
83, 0.331438
84, 0.301994
85, 0.219655
86, 0.157951
87, 0.373737
88, 0.107745
89, 0.385951
90, 0.324693
91, 0.250069
92, 0.525602
93, 0.395502
94, 0.279075
95, 0.105929
96, 0.418598
97, 0.466439
98, 0.480663
99, 0.321962
100, 0.211344
101, 0.369899
102, 0.351026
103, 0.217761
104, 0.373174
105, 0.226457
106, 0.153642
107, 0.169137
108, 0.293535
109, 0.185974
110, 0.314468
111, 0.195004
112, 0.295268
113, 0.324272
114, 0.230068
115, 0.089820
116, 0.178181
117, 0.479124
118, 0.246977
119, 0.301265
120, 0.343897
121, 0.428569
122, 0.390330
123, 0.263215
124, 0.155998
125, 0.210478
126, 0.345381
127, 0.207627
128, 0.457311
129, 0.370498
130, 0.373628
131, 0.368252
132, 0.212784
133, 0.363180
134, 0.209226
135, 0.216836
136, 0.265319
137, 0.324742
138, 0.124887
139, 0.335572
140, 0.303083
141, 0.232574
142, 0.332057
143, 0.283763
144, 0.091540
145, 0.590416
146, 0.151264
147, 0.302225
148, 0.283663
149, 0.334620
150, 0.324724
151, 0.297061
152, 0.277762
153, 0.490744
154, 0.285099
155, 0.142638
156, 0.177608
157, 0.240859
158, 0.147208
159, 0.405177
160, 0.200575
161, 0.172338
162, 0.306647
163, 0.359950
164, 0.202007
165, 0.389468
166, 0.225568
167, 0.203789
168, 0.275189
169, 0.288942
170, 0.304841
171, 0.259040
172, 0.272045
173, 0.281512
174, 0.322689
175, 0.281391
176, 0.265063
177, 0.104873
178, 0.391350
179, 0.274862
