Time, Sievert (uSv/h) 
0, 5.495226
1, 5.098011
2, 5.323086
3, 5.231795
4, 5.204827
5, 5.351472
6, 4.796968
7, 4.367368
8, 5.566437
9, 5.287066
10, 5.007756
11, 4.854569
12, 5.150180
13, 5.344131
14, 5.725260
15, 4.479077
16, 5.166007
17, 4.830529
18, 5.201519
19, 5.117523
20, 4.695022
21, 5.385117
22, 4.393398
23, 5.179153
24, 4.893755
25, 5.220620
26, 4.751440
27, 5.550361
28, 5.424456
29, 4.418200
30, 5.204427
31, 5.371064
32, 4.693043
33, 4.887177
34, 5.491529
35, 4.852877
36, 4.939285
37, 4.628167
38, 4.798945
39, 4.650263
40, 5.364012
41, 5.489388
42, 4.743566
43, 4.731603
44, 5.564031
45, 5.693096
46, 4.677761
47, 4.989155
48, 4.814442
49, 5.006799
50, 4.884133
51, 4.678383
52, 5.072908
53, 4.530052
54, 5.400665
55, 5.687178
56, 5.112772
57, 4.575460
58, 5.038409
59, 4.793277
60, 4.513383
61, 5.409255
62, 5.169319
63, 5.190701
64, 4.933092
65, 4.943669
66, 5.526913
67, 4.690171
68, 5.299019
69, 5.009210
70, 5.131433
71, 4.719884
72, 5.670566
73, 4.490917
74, 5.035884
75, 5.097472
76, 4.915225
77, 4.617810
78, 4.507021
79, 5.382242
80, 5.117190
81, 4.812371
82, 5.636381
83, 5.421135
84, 4.721201
85, 4.449765
86, 4.815730
87, 4.287778
88, 4.905419
89, 4.914914
90, 5.254987
91, 4.713898
92, 5.099039
93, 5.045127
94, 4.850930
95, 4.726612
96, 4.531031
97, 5.029401
98, 4.678570
99, 5.380856
100, 5.196172
101, 4.800930
102, 5.600062
103, 5.551599
104, 5.417703
105, 5.215932
106, 4.665230
107, 5.694644
108, 4.821752
109, 4.022516
110, 4.669410
111, 4.706632
112, 5.183907
113, 5.082156
114, 4.684233
115, 5.447281
116, 4.590753
117, 4.771766
118, 5.715201
119, 5.437183
120, 5.296436
121, 4.950049
122, 5.031344
123, 5.033522
124, 4.540513
125, 4.816705
126, 4.469081
127, 5.318964
128, 4.803332
129, 5.370224
130, 5.310715
131, 5.133686
132, 4.841701
133, 5.104000
134, 5.026106
135, 5.523990
136, 4.996147
137, 4.931828
138, 5.107997
139, 4.868508
140, 4.790709
141, 5.108015
142, 4.565944
143, 4.638923
144, 5.665739
145, 5.043832
146, 4.673573
147, 4.900307
148, 4.667113
149, 5.472082
150, 5.263020
151, 4.990091
152, 5.042805
153, 4.875325
154, 5.208962
155, 5.060421
156, 4.631999
157, 5.365262
158, 4.619244
159, 4.641035
160, 4.792103
161, 5.127380
162, 5.120867
163, 5.293840
164, 5.512815
165, 5.327995
166, 5.366548
167, 4.923397
168, 5.554035
169, 5.028975
170, 5.059347
171, 5.615798
172, 4.359888
173, 5.596056
174, 4.584225
175, 5.423512
176, 4.634573
177, 4.988879
178, 5.028812
179, 4.783984
