Time, Sievert (uSv/h) 
0, 0.655724
1, 0.600827
2, 0.503015
3, 0.594242
4, 0.565103
5, 0.386829
6, 0.919077
7, 0.462055
8, 0.841795
9, 0.686015
10, 0.437879
11, 0.503259
12, 0.692003
13, 0.489056
14, 0.454870
15, 0.553381
16, 0.526869
17, 0.824823
18, 0.695814
19, 0.675216
20, 0.651484
21, 0.947561
22, 0.659299
23, 0.427651
24, 0.837402
25, 0.946031
26, 0.610660
27, 0.640839
28, 0.615252
29, 0.701487
30, 0.769395
31, 0.677949
32, 0.635545
33, 0.704669
34, 0.556925
35, 0.484304
36, 0.662624
37, 0.939779
38, 0.505724
39, 0.819011
40, 0.433216
41, 0.565412
42, 0.588692
43, 0.564481
44, 0.862572
45, 0.683318
46, 0.919329
47, 0.641087
48, 0.875331
49, 0.574788
50, 0.754347
51, 0.690119
52, 0.711466
53, 0.887902
54, 0.533334
55, 0.602143
56, 0.634511
57, 0.865080
58, 0.484558
59, 0.456888
60, 0.762246
61, 0.524173
62, 0.558781
63, 0.585417
64, 0.674117
65, 0.575114
66, 0.903516
67, 0.460562
68, 0.423519
69, 0.458047
70, 0.715604
71, 0.502941
72, 0.848546
73, 0.535570
74, 0.517971
75, 0.880530
76, 0.926522
77, 0.963555
78, 0.483213
79, 0.637430
80, 0.577071
81, 0.534806
82, 0.566818
83, 0.836033
84, 0.692761
85, 0.957935
86, 0.745361
87, 0.550614
88, 0.997964
89, 0.698316
90, 0.742302
91, 0.511472
92, 0.425490
93, 0.611643
94, 0.532784
95, 0.672954
96, 0.524742
97, 0.428442
98, 0.669018
99, 0.750869
100, 0.463622
101, 0.593369
102, 0.598129
103, 0.502326
104, 0.506341
105, 0.663186
106, 0.827529
107, 0.864600
108, 0.776498
109, 0.654576
110, 0.565040
111, 0.734443
112, 0.719165
113, 0.440913
114, 0.401079
115, 0.537883
116, 0.875163
117, 0.741786
118, 0.364058
119, 0.431335
120, 0.556577
121, 0.664723
122, 0.620162
123, 0.747502
124, 0.591080
125, 1.203271
126, 0.617578
127, 0.870465
128, 0.675374
129, 0.462065
130, 0.606088
131, 0.598298
132, 0.694942
133, 1.168221
134, 0.805942
135, 0.680778
136, 0.361989
137, 0.658415
138, 0.564581
139, 0.483434
140, 0.909868
141, 0.396177
142, 0.649592
143, 0.775620
144, 0.655037
145, 0.606851
146, 0.559807
147, 0.813358
148, 0.598619
149, 0.772647
150, 0.523081
151, 0.902193
152, 0.738915
153, 0.577978
154, 0.862664
155, 0.519010
156, 0.656925
157, 0.769408
158, 0.752295
159, 0.647008
160, 0.769333
161, 0.665509
162, 0.951331
163, 0.978792
164, 0.417225
165, 0.631318
166, 0.411911
167, 0.826385
168, 0.694552
169, 0.547414
170, 0.416519
171, 0.669960
172, 0.480996
173, 0.623973
174, 0.767989
175, 0.523537
176, 0.554077
177, 0.821267
178, 0.756970
179, 0.685775
