Time, Sievert (uSv/h) 
0, 1.461166
1, 1.200069
2, 1.113104
3, 1.292295
4, 1.224397
5, 1.031804
6, 1.229266
7, 1.427349
8, 1.077300
9, 1.061702
10, 1.192511
11, 1.100508
12, 1.331635
13, 1.283925
14, 1.500495
15, 1.385096
16, 1.339600
17, 1.136551
18, 1.030205
19, 1.531245
20, 0.884713
21, 1.572859
22, 1.587369
23, 1.088926
24, 1.045519
25, 1.388891
26, 1.261159
27, 1.362194
28, 1.063191
29, 1.217025
30, 0.961965
31, 0.969413
32, 1.084776
33, 1.105714
34, 1.341901
35, 1.152352
36, 1.462131
37, 1.187093
38, 0.951148
39, 1.287825
40, 1.085264
41, 1.225435
42, 1.119631
43, 1.088590
44, 1.454465
45, 1.195237
46, 1.395693
47, 1.329853
48, 1.509835
49, 1.416594
50, 1.113742
51, 1.388270
52, 1.201418
53, 1.442679
54, 1.441713
55, 1.242422
56, 1.344533
57, 0.905400
58, 1.181983
59, 1.429309
60, 1.118919
61, 1.436892
62, 0.879626
63, 0.998826
64, 1.179025
65, 0.896700
66, 0.986561
67, 1.382337
68, 1.120112
69, 1.361755
70, 0.737875
71, 1.379128
72, 1.572651
73, 1.561918
74, 1.360187
75, 1.487481
76, 1.041544
77, 0.904728
78, 0.944674
79, 1.052207
80, 1.011331
81, 1.179373
82, 0.941133
83, 1.090232
84, 1.128178
85, 1.148799
86, 1.088206
87, 1.342715
88, 1.685023
89, 1.252651
90, 1.258787
91, 1.234748
92, 1.273728
93, 1.158221
94, 1.249922
95, 1.050242
96, 1.321328
97, 0.853225
98, 1.460894
99, 1.198382
100, 1.160637
101, 0.869070
102, 1.179493
103, 1.465464
104, 1.306824
105, 1.507439
106, 1.090909
107, 1.264347
108, 0.971466
109, 1.007660
110, 1.322903
111, 1.385141
112, 1.226241
113, 1.282882
114, 0.915626
115, 1.014063
116, 1.181292
117, 1.126049
118, 1.474806
119, 0.955915
120, 0.948553
121, 1.363924
122, 0.728744
123, 1.667465
124, 1.062216
125, 1.007715
126, 1.395199
127, 0.981239
128, 1.179274
129, 1.389592
130, 1.315273
131, 1.559407
132, 1.521439
133, 1.037599
134, 1.524022
135, 1.287291
136, 0.982178
137, 1.530060
138, 1.136113
139, 1.256075
140, 1.079149
141, 1.063740
142, 1.337920
143, 1.273747
144, 1.162048
145, 1.277771
146, 1.344050
147, 1.233310
148, 1.475916
149, 1.344427
150, 0.916007
151, 1.444680
152, 1.397677
153, 1.124230
154, 1.470045
155, 0.822269
156, 1.288598
157, 1.153927
158, 1.243399
159, 1.795169
160, 0.865186
161, 1.192455
162, 1.672607
163, 1.234485
164, 1.594495
165, 1.305449
166, 1.192628
167, 1.497916
168, 1.068754
169, 0.984130
170, 1.261927
171, 1.423110
172, 1.262248
173, 1.480698
174, 1.506222
175, 0.965633
176, 1.238529
177, 0.959737
178, 1.461408
179, 1.183935
