Time, Sievert (uSv/h) 
0, 0.094200
1, 0.086399
2, 0.110375
3, 0.019833
4, 0.116530
5, 0.150532
6, 0.105804
7, 0.043088
8, 0.092969
9, 0.016355
10, 0.142104
11, 0.121254
12, 0.120731
13, 0.146694
14, 0.100539
15, 0.095280
16, 0.022709
17, 0.033865
18, 0.106049
19, 0.086848
20, 0.097049
21, 0.024315
22, 0.111761
23, 0.112618
24, 0.043589
25, 0.084845
26, 0.194465
27, 0.078235
28, 0.049735
29, 0.161741
30, 0.035896
31, 0.042172
32, 0.232461
33, 0.142650
34, 0.029622
35, 0.055390
36, 0.038347
37, 0.063084
38, 0.059410
39, 0.031798
40, 0.127990
41, 0.111473
42, 0.082039
43, 0.097700
44, 0.046457
45, 0.074246
46, 0.189209
47, 0.217640
48, 0.021680
49, 0.104487
50, 0.067414
51, 0.067223
52, 0.074607
53, 0.115358
54, 0.015587
55, 0.059452
56, 0.035301
57, 0.104797
58, 0.136543
59, 0.108792
60, 0.160618
61, 0.109165
62, 0.050849
63, 0.146269
64, 0.022408
65, 0.033868
66, 0.150032
67, 0.049700
68, 0.277163
69, 0.075629
70, 0.175887
71, 0.140256
72, 0.053472
73, 0.245022
74, 0.047309
75, 0.025244
76, 0.161938
77, 0.050206
78, 0.082196
79, 0.075519
80, 0.078988
81, 0.041663
82, 0.048147
83, 0.030048
84, 0.038698
85, 0.058913
86, 0.032374
87, 0.075114
88, 0.021083
89, 0.021770
90, 0.064413
91, 0.112344
92, 0.144244
93, 0.129775
94, 0.082247
95, 0.103782
96, 0.048331
97, 0.130093
98, 0.065618
99, 0.127228
100, 0.072031
101, 0.052226
102, 0.081543
103, 0.080133
104, 0.162985
105, 0.186187
106, 0.090549
107, 0.116014
108, 0.110361
109, 0.158959
110, 0.089164
111, 0.087299
112, 0.123342
113, 0.157938
114, 0.086391
115, 0.080880
116, 0.109649
117, 0.081050
118, 0.074196
119, 0.087060
120, 0.032797
121, 0.108755
122, 0.124273
123, 0.020986
124, 0.115744
125, 0.082318
126, 0.158948
127, 0.029717
128, 0.159234
129, 0.189886
130, 0.083472
131, 0.098034
132, 0.081914
133, 0.045741
134, 0.074607
135, 0.093762
136, 0.169328
137, 0.030707
138, 0.088179
139, 0.045871
140, 0.084239
141, 0.043786
142, 0.119991
143, 0.024427
144, 0.141671
145, 0.118050
146, 0.075078
147, 0.018705
148, 0.060202
149, 0.090429
150, 0.118797
151, 0.104249
152, 0.082380
153, 0.153911
154, 0.039021
155, 0.083975
156, 0.083838
157, 0.099720
158, 0.119548
159, 0.149363
160, 0.144724
161, 0.137147
162, 0.110856
163, 0.029463
164, 0.214416
165, 0.046675
166, 0.074462
167, 0.099771
168, 0.095464
169, 0.017765
170, 0.034792
171, 0.074890
172, 0.125937
173, 0.167979
174, 0.061373
175, 0.032402
176, 0.023004
177, 0.029412
178, 0.029818
179, 0.045183
