Time, Sievert (uSv/h) 
0, 0.020158
1, 0.096096
2, 0.013759
3, 0.023527
4, 0.171018
5, 0.004910
6, 0.022784
7, 0.015863
8, 0.007738
9, 0.026850
10, 0.029171
11, 0.012137
12, 0.023635
13, 0.014493
14, 0.019766
15, 0.005874
16, 0.133320
17, 0.053850
18, 0.084812
19, 0.177494
20, 0.071860
21, 0.003826
22, 0.032810
23, 0.018465
24, 0.012361
25, 0.019464
26, 0.031804
27, 0.011697
28, 0.136427
29, 0.024172
30, 0.063968
31, 0.013639
32, 0.106270
33, 0.018846
34, 0.046848
35, 0.105546
36, 0.031099
37, 0.014601
38, 0.013520
39, 0.016225
40, 0.026585
41, 0.021474
42, 0.053099
43, 0.053820
44, 0.033969
45, 0.085657
46, 0.120411
47, 0.025272
48, 0.136555
49, 0.020765
50, 0.019826
51, 0.015590
52, 0.020595
53, 0.013589
54, 0.059516
55, 0.019600
56, 0.079631
57, 0.095973
58, 0.044593
59, 0.052269
60, 0.113781
61, 0.038171
62, 0.022367
63, 0.078679
64, 0.052518
65, 0.041420
66, 0.063176
67, 0.041394
68, 0.017706
69, 0.029246
70, 0.016344
71, 0.017295
72, 0.097338
73, 0.017672
74, 0.016164
75, 0.034634
76, 0.026463
77, 0.012466
78, 0.036297
79, 0.123384
80, 0.039881
81, 0.012855
82, 0.070513
83, 0.009172
84, 0.036877
85, 0.029154
86, 0.057945
87, 0.078887
88, 0.082744
89, 0.085622
90, 0.026623
91, 0.115052
92, 0.038666
93, 0.130682
94, 0.026724
95, 0.051707
96, 0.005361
97, 0.017706
98, 0.027220
99, 0.023966
100, 0.059365
101, 0.070623
102, 0.020024
103, 0.021610
104, 0.022382
105, 0.079529
106, 0.020468
107, 0.097480
108, 0.041266
109, 0.011981
110, 0.135897
111, 0.013547
112, 0.021416
113, 0.101791
114, 0.018353
115, 0.095928
116, 0.040977
117, 0.026402
118, 0.038470
119, 0.020210
120, 0.088528
121, 0.096466
122, 0.076072
123, 0.021257
124, 0.007687
125, 0.065601
126, 0.021109
127, 0.039886
128, 0.087125
129, 0.011088
130, 0.064493
131, 0.057108
132, 0.007800
133, 0.034201
134, 0.010872
135, 0.090436
136, 0.141875
137, 0.025987
138, 0.026775
139, 0.011475
140, 0.108168
141, 0.105162
142, 0.064820
143, 0.024069
144, 0.014089
145, 0.025147
146, 0.064703
147, 0.010738
148, 0.019059
149, 0.016213
150, 0.027165
151, 0.010677
152, 0.037424
153, 0.088225
154, 0.039785
155, 0.008558
156, 0.150882
157, 0.088834
158, 0.071214
159, 0.042752
160, 0.035494
161, 0.034348
162, 0.025292
163, 0.125926
164, 0.057350
165, 0.006170
166, 0.090296
167, 0.071734
168, 0.034182
169, 0.014970
170, 0.070392
171, 0.086654
172, 0.023995
173, 0.065432
174, 0.089165
175, 0.089397
176, 0.008877
177, 0.170106
178, 0.063962
179, 0.046606
